name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Freedom Wash,Virginia Beach,VA,,not_touchless,brush_tunnel,0.92,"Multiple reviews confirm felt-type brushes contact vehicles. Listing claims touchless but reviews explicitly contradict: 'NO TOUCHLESS CARWASH here' and 'felt-type brushes.' Evidence strongly against touchless.","Virginia Beach, VA #2",69
Radiant Shine Wash,Wooster,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Website confirms touchless automatic bays. Reviews praise touch-free Accutrac system, no brushes. Also offers self-serve bays.","Wooster, OH #3",80
Friendly Carwash,Westfield,MA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'No-Touch Car Wash' service. Multiple reviews confirm touchless automatic bays with no-brush operation. Mixed facility also offers touch options and self-serve.","Northampton, MA #2",87
Express Auto Wash,North Brookfield,MA,,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly describes automatic touchless bay with no physical contact. Multiple reviews confirm touch-free/no-touch operation. No brush/soft-touch evidence.","Worcester, MA #3",89
Niagara Car Wash,Baldwinsville,NY,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states touch-free automatic bays. Multiple 5★ reviews confirm touchless/touch-free experience. No brush/cloth contact mentioned.","Syracuse, NY #2",92
Shammy's Auto Wash,Owensboro,KY,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews confirm touchless/laser wash; customers praise touch-free system preventing swirl marks and scratches.","Owensboro, KY #1",93
Magic Wand Laser Wash,Menominee,MI,,confirmed_touchless,mixed_with_touchless,0.95,"Explicit laser wash description + touchless automatic confirmed. Mixed facility: DIY foam brush bay + automatic touchless tunnel. Meets criteria.","Sturgeon Bay, WI #2",80
Classic Touch Express Car Wash,Winston-Salem,NC,,uncertain,unknown,0.45,"Reviews mention both 'brushless/touchless option' and 'brushes in wash.' Conflicting evidence; unclear if touchless bay exists or is standard.","Winston-Salem, NC #1",80
Kwik Trip,FARIBAULT,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus is genuine touchless laser automatic. Description explicitly confirms high-pressure water jets, no physical contact, designed for delicate finishes.","Owatonna, MN #2",
Grand Express Wash,Peoria,AZ,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touchless Wash Available' multiple times. Reviews consistently mention 'brushless,' 'touchless,' and 'touch free' automatic wash. Automated track system confirmed.","Phoenix, AZ #1",88
Gorilla Car Wash,Omaha,NE,Gorilla Wash,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm 'touch less' and 'brushless' automatic wash. Website classification evidence appears outdated/incorrect versus current customer feedback.","Omaha, NE #3",93
New Richmond Car Wash,New Richmond,WI,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states automatic bay uses high-pressure water jets with no physical contact. Reviews confirm touchless/touch-free operation. Self-serve also available.","New Richmond, WI #1",80
Black Hills Auto Spa Touchfree Car Wash,Rapid City,SD,,confirmed_touchless,mixed_with_touchless,0.95,"Listing explicitly describes touchless automatic bay using high-pressure water/detergents, no brushes/cloth. Reviews confirm touchfree booth present. Mixed facility with additional services.","Rapid City, SD #3",58
Kwik Trip,SAINT JOSEPH,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless, no brushes/cloth. Equipment confirmed as PDQ Laserwash 360 Plus touchless system.","St. Cloud, MN #2",
River City Car Wash,Red Wing,MN,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews explicitly confirm touchless/touch-free/no-touch automatic bays present. Mixed facility with self-serve wands also available.","Red Wing, MN #1",73
Super Wash,Fairfield,OH,Super Wash,confirmed_touchless,touchless_automatic,0.95,"Description explicitly describes automatic touchless bay with high-pressure nozzles, no physical contact. Multiple reviews confirm touchless/brushless operation.","Trenton, OH #1",74
Diamond Sparkle Car Wash,Colchester,CT,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touchless Car Wash System' as primary option. Multiple reviews confirm touchless automatic bay. Mixed facility with self-serve and express wash options.","Norwich, CT #3",48
Doyle's Car Wash,Turners Falls,MA,,confirmed_touchless,mixed_with_touchless,0.85,"Reviews confirm one touchless automatic bay plus manual self-serve bays. Website overstates/misleads, but customer evidence is clear.","Northampton, MA #3",84
The Flying Pig Car Wash,Rapid City,SD,Flying Pig Car Wash,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states 'Touch Free' and 'touchless wash.' Multiple reviews confirm brushless automatic system. Two automatic bays plus self-serve option available.","Rapid City, SD #2",85
Max Car Wash,Fallbrook,CA,Max Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website confirms Istobal M25 touchless automatic system. Multiple 5★ reviews explicitly praise touchless/brushless wash. Mixed facility with self-serve bays also present.","Oceanside-Carlsbad, CA #3",65
Mocksville Auto Pride Carwash,Mocksville,NC,Royal Rinse Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Chain operates Washworld Touch-Free IBA (automated touchless). Mixed facility with self-serve + touchless automatic. Reviews confirm touchless option available.","Statesville, NC #3",64
Hartwell Car Wash,Rock Island,IL,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly lists 'Touch Free Wash' across all membership tiers. Multiple reviews confirm touchless automatic bays operate. Facility also offers brush automatics, making it mixed.","Quad Cities, IA-IL #3",76
Biddeford Auto Wash,Biddeford,ME,,uncertain,mixed_with_touchless,0.65,"Multiple reviews confirm touchless bays exist (2 mentioned). However, one 1★ review reports brushes/damage, contradicting touchless claim. Facility appears to offer mixed services.","Portland, ME #1",73
Power Wash USA- Sgt Bluff,Sergeant Bluff,IA,Power Wash USA,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews confirm automatic touchless wash with high-pressure chemical coverage. Also has self-serve bays. No brush/cloth contact mentioned.","Sioux City, IA #2",86
CC's Touchless Car Wash,Vineland,NJ,CC's Touchless Car Wash,confirmed_touchless,mixed_with_touchless,0.98,"Listing explicitly names 'Touchless Car Wash,' declares touchless_automatic type, description confirms 'touchless laser wash system,' multiple reviews cite 'touch free' and 'touch less' wash with positive results.","Vineland, NJ #3",71
Ride With Pride Carwash 2,Taylorsville,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly mentions 'Automatic Wash' touchless option. Self-serve bays alone insufficient, but automatic touchless bay confirmed present.","Statesville, NC #2",69
Uncasville Quick Lube & Car Wash,Uncasville,CT,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states water pressure + detergent only, no brushes/cloth/foam. Multiple reviews confirm touchless/touch-free. Quick lube services present but separate.","Norwich, CT #1",88
Phil Dean's Car Wash,St. Petersburg,FL,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic bay. Detailing services also present. Evidence strongly supports touchless automatic wash availability.","Tampa, FL #1",87
Key West Car Wash,Nokomis,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly states 'touch free automatic' and 'touchless automatic wash' added alongside soft-touch. Mixed facility with genuine touchless bay confirmed.","Sarasota, FL #1",84
Kelly’s Market Car Wash,Rockford,IL,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly confirms LaserWash brush-free laser wash technology. Customer review explicitly mentions 'touch free' wash. Clear evidence of touchless automatic bay.","Rockford, IL #3",
Emma's Baywash - Self Service and Touchless Wash,Orlando,FL,,uncertain,mixed_with_touchless,0.65,"Listing describes genuine touchless automatic bay (gantry, high-pressure nozzles, no contact). One review mentions 'brushes' but context suggests self-serve wand bay, not automatic. Touchless bay clearly present.","Orlando, FL #3",81
Kwik Trip Car Wash,Owatonna,MN,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless/brushless, but no wash_types listed, no reviews, no confirmation details.","Owatonna, MN #3",
WAVE'S Carwash,McKees Rocks,PA,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states touchless/touch-free technology. Multiple 5-star reviews confirm no brushes, high-pressure automated wash, contrast with brush/conveyor alternatives.","Pittsburgh, PA #3",84
Port City Touchless Car Wash,Portsmouth,NH,,confirmed_touchless,touchless_automatic,0.95,"Explicit high-pressure water+detergent, no brushes/cloth/foam curtains. Multiple reviews confirm touchless/touch-free automatic operation. No brush/soft-touch evidence.","Sanford, ME #1",82
Shammys Auto Wash,Owensboro,KY,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly states touchless locations. Multiple customer reviews confirm touchless automatic wash. One negative review mentions scratches but doesn't specify touchless caused them.","Owensboro, KY #2",75
Tornado Car Wash,Omaha,NE,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms 'high power touchless automatics' bay. Mixed facility (touchless + soft-touch + self-serve). Multiple reviews praise touchless option.","Omaha, NE #1",85
Wash World Car Wash,Boalsburg,PA,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews confirm touchless/brushless automatic bay. Description explicitly states high-pressure water jets, no physical contact. No contradicting brush/cloth evidence.","State College, PA #2",84
Westside Car Wash LLC,Richmond,MI,,confirmed_touchless,mixed_with_touchless,0.92,"Website emphasizes touchless multiple times; reviews explicitly praise touchless/no-touch automatic wash. Soft Touch mention likely secondary service. Primary offering confirmed touchless.","Richmond, MI #1",85
Bernard's Chevron Touchless Car Wash,Livermore,CA,Chevron,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly describes automatic touchless bay using water pressure & detergent only, no brushes/cloth/foam curtains. Multiple reviews confirm touchless experience.","San Francisco, CA #3",80
Car Wash City,Springfield,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states '24/7 Touchless Automatics'; multiple reviews confirm touchless automatic bays present. Mixed facility with self-serve also available.","Springfield, IL #2",56
Upstate LaserWash,Clifton Park,NY,,uncertain,unknown,0.6,"Description claims touchless/high-pressure automatic. Most reviews praise brushless/touch-free wash. One 1★ review alleges tunnel damage—unclear if separate brush tunnel exists or mischaracterization of touchless bay.","Saratoga Springs, NY #2",87
Motor City Auto Wash,Phoenix,AZ,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'premium touchless car washes' with 'high-pressure jets and no brushes or cloths.' Multiple reviews confirm brushless/touchless automatic wash. Also offers self-serve bays.","Phoenix, AZ #3",91
Super Wash,Greencastle,IN,Super Wash,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly confirms automatic touchless bay with gantry/overhead nozzles, no physical contact. Mixed facility (touchless + self-serve).","Terre Haute, IN #2",
The Wave Auto Wash,Sioux Falls,SD,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm 'no-touch,' 'brushless,' and 'touchless' automatic wash. Facility also offers self-serve bays. Clear touchless automatic present.","Sioux Falls, SD #1",89
ARCO Brushless Automatic Car Wash,Federal Way,WA,ARCO,confirmed_touchless,touchless_automatic,0.98,"Name, description, and multiple customer reviews explicitly confirm brushless/touchless automatic bay with high-pressure nozzles, no physical contact.","Seattle, WA #1; Tacoma, WA #1",92
Bloomingdale Self-Serve Car Wash,Bloomingdale,NJ,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms 2 touchless automatics. Multiple reviews verify robot arm, brushless, touch-free wash. Self-serve bays also present but not sole offering.","New York City, NY #2; Northern NJ #2",73
Blue Tide Car Wash - Touchless,Sioux Falls,SD,Blue Tide Car Wash,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm touchless wash. Description states 'touchless automatic car wash experience.' No brush/cloth contact mentioned.","Sioux Falls, SD #3",85
Kwik Trip,PRINCETON,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 P confirmed; description explicitly states touchless/no physical contact; customer reviews mention 'touch free' and 'touchless'; laser wash eliminates brush contact.","North Branch, MN #1",80
Kwik Trip,ROCHESTER,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed; description explicitly states high-pressure water jets, no physical contact; customer review mentions 'touch free' wash.","Rochester, MN #1",
Salty Dog Car Wash - E New York,DeLand,FL,Salty Dog Car Wash,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states touchless automatic wash; multiple reviews confirm 'touch free' experience; automatic bay present alongside self-serve options.","New Smyrna Beach, FL #1",86
Kwik Trip,STURGEON BAY,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus is genuine touchless laser system. Review confirms no-touch operation. Description explicitly states touchless automatic.","Sturgeon Bay, WI #3",
Splash Car Wash Express,Cicero,NY,Splash Car Wash,not_touchless,soft_touch,0.92,"Website describes friction-based 'Bath Wash' & 'Triple Foam Polish'—classic soft-touch tunnel. Damage reports (scrapes, missing grille) contradict touchless claims. Description conflicts with evidence.","Syracuse, NY #3",66
Fast Auto Wash,Sioux Falls,SD,,uncertain,unknown,0.45,"Website describes conveyored automatic with soft-touch/friction elements and self-serve brushes. Reviews claim touchless, but one 1★ review reports scratches post-wash, contradicting touchless claim.","Sioux Falls, SD #2",85
Precision Auto Wash,Machesney Park,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly confirms automatic touchless bay using high-pressure water jets. Reviews confirm brushless/touchless operation. Mixed facility includes self-serve bays.","Rockford, IL #1",80
Auto Wash Express,Tucson,AZ,,uncertain,unknown,0.35,"Description claims touchless/no-brush; reviews report brushes activated & poor results. Conflicting evidence; facility type unclear.","Tucson, AZ #1",48
Classy Chassis Self-Serve Car Wash - Sprague Ave,Tacoma,WA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly lists 'Touch-Free Car Washes'; multiple reviews confirm touchless automatic bay; self-serve bays also present but touchless automatic is primary offering.","Seattle, WA #2; Tacoma, WA #2",85
Pueblo Laser Wash & Vac,Pueblo,CO,ProClean Auto Wash,uncertain,touchless_automatic,0.65,"Name & description confirm laser/touchless automatic. One review alleges physical contact damage—contradicts touchless claim. Needs clarification.","Pueblo, CO #3",
Aqua Jet Car Wash of Cheswick,Cheswick,PA,,confirmed_touchless,mixed_with_touchless,0.85,"Multiple reviews explicitly confirm brushless/touchless automatic bays. Facility also offers detailing services, making it mixed but qualifying.","Pittsburgh, PA #1",90
Scrubbys Car Wash,Gresham,OR,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states 'touchless (brushless) automated car wash'. Multiple reviews confirm contactless/touchless operation with no brushes. Customers specifically sought it out for this feature.","Portland, OR #2",76
Zaug Wash,Rapid City,SD,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Laser Wash system'. Multiple reviews confirm 'brushless automatic' and 'touch-less' bays. High-pressure touchless technology documented.","Rapid City, SD #1",89
Touchless Car Wash,Santa Clara,CA,,confirmed_touchless,touchless_automatic,0.98,"High-pressure water/detergent gantry system, no brushes/cloth contact. Multiple reviews confirm touchless operation, no brush damage mentioned.","San Jose, CA #1",84
MegaWash,Ashland,VA,,confirmed_touchless,mixed_with_touchless,0.85,"Website confirms '75′ touchless tunnel' with high-pressure water+detergent, no brushes. Mixed facility with touchless automatic bay. One review mentions attendant brush scrub (full-service add-on), not the automatic wash itself.","Richmond, VA #2",85
