name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Victory Auto Wash - Lowell,Lowell,MA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm 'touch free' and 'brushless' automatic wash. Description states touchless automated experience. No brush/cloth evidence.","Worcester, MA #1",91
Port City Touchless Car Wash,Portsmouth,NH,,confirmed_touchless,touchless_automatic,0.95,"Explicit description confirms high-pressure water+detergent, no brushes/cloth/foam curtains. Multiple 5★ reviews cite 'touchless' and 'touch free' with no damage reports.","Sanford, ME #1",82
Wash World Car Wash,Boalsburg,PA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews confirm touchless/brushless automatic bay. Description explicitly states high-pressure water jets, no physical contact. Website lacks detail but evidence overwhelmingly supports touchless operation.","State College, PA #2",84
Ogden Car Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm genuine touchless/no-touch automatic bay. Facility also offers soft-touch brush lane, but touchless option clearly present and operational.","Wilmington, NC #1",72
Klean Ride Touchless and Self-Sevice Car Wash,San Antonio,TX,,confirmed_touchless,mixed_with_touchless,0.95,"Listing explicitly states automatic touch-free option. Multiple reviews confirm touchless automatic wash with positive results; no brush/bristle complaints.","San Antonio, TX #3",90
Anderson Ultra Express Car Wash North George St.,York,PA,,confirmed_touchless,touchless_automatic,0.92,"Website explicitly states 'touch-free automatic car wash' at this location. Multiple reviews confirm touchless/touch-free wash. One negative review alleges scratches but doesn't identify brushes/cloth contact—consistent with high-pressure water spray.","York, PA #3",69
Water Works Car Wash- Annapolis,Annapolis,MD,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states 'touchless (brushless) automated car wash.' Multiple reviews confirm touchless/brushless automatic bays. Mixed facility with self-serve bays also present.","Washington, DC #3",83
Car Wash City,Springfield,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms 24/7 touchless automatics. Multiple reviews reference touchless wash option. Also offers self-serve bays. Qualifies as mixed facility with genuine touchless automatic bay.","Springfield, IL #1",56
Bernard's Chevron Touchless Car Wash,Livermore,CA,Chevron,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly states automatic touchless bay using water pressure & detergent only. Multiple reviews confirm touchless operation. No brush/cloth contact evidence.","San Francisco, CA #3",80
The Wave Auto Wash,Sioux Falls,SD,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm brushless/touchless/no-touch automatic wash. Mixed facility with self-serve bays also present.","Sioux Falls, SD #1",89
Kwik Trip,Wausau,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay with gantry-arm high-pressure nozzles, no physical contact.","Wausau, WI #1",
Wash ICT,Wichita,KS,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/brush-free automatic wash. One 1★ complaint about scratches; insufficient to override consistent positive touchless evidence.","Wichita, KS #1",81
1st Class Car Wash,Burien,WA,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm automatic touchless/touch-free wash ('razor wash', '$11 automatic touchless'). Mixed facility with self-serve bays also present.","Tacoma, WA #3",74
Kwik Trip,STURGEON BAY,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed touchless system. Review explicitly mentions 'no touch car wash.' Description states touchless automatic with nothing physically touching car.","Sturgeon Bay, WI #2",
Kwik Trip,ROCHESTER,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed; description details high-pressure water/chemical touchless automatic; customer review explicitly mentions 'touch free car wash'.","Rochester, MN #1",
Wrightsville Beach Auto Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.98,"Website confirms Touch-Free Automatic wash at all locations. Multiple reviews explicitly mention brushless/touchless/no-touch automatic bays. Self-serve also available.","Wilmington, NC #3",71
Fast Auto Wash,Sioux Falls,SD,,uncertain,unknown,0.45,"Website claims touchless automatic but also lists self-serve foamy brush bays. Reviews mention touchless + hand-dry service, but one 1★ review reports scratches. Evidence contradicts itself.","Sioux Falls, SD #2",85
Classy Chassis Self-Serve Car Wash - Sprague Ave,Tacoma,WA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touch-Free Car Washes' service. Multiple 5★ reviews confirm touchless automatic bay. Mixed facility with self-serve bays also available.","Seattle, WA #1; Tacoma, WA #1",85
Pueblo Laser Wash & Vac,Pueblo,CO,ProClean Auto Wash,uncertain,mixed_with_touchless,0.65,"Name & description confirm touchless_automatic & laser wash. One review mentions 'automatic drive-thru car wash stalls' (consistent). Third review alleges physical contact/damage—contradicts touchless claim. Requires verification.","Pueblo, CO #3",
Auto Wash Express,Tucson,AZ,,uncertain,unknown,0.35,"Description claims touchless/no-brush automatic, but 1★ review explicitly reports brushes activated during wash. Conflicting evidence prevents confirmation.","Tucson, AZ #1",48
Aqua-Tech Car Wash,Davenport,IA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms 'Touch Free Automatic' bay. Multiple reviews praise touchless wash. Mixed facility with self-serve and tunnel options.","Quad Cities, IA-IL #3",64
Checkered Flag Car & Dog Wash,Advance,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Automatic touchless gantry system confirmed (high-pressure nozzles, no brushes/cloth contact). Mixed facility: touchless lanes + self-serve options + wheel attendants.","Winston-Salem, NC #2",90
Fitzy's Car Wash,North Grafton,MA,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms 'TOUCHLESS SABER WASH' available 24/7. Multiple reviews affirm touchless/no-touch/touch-less service. Mixed facility also offers tunnel wash and self-serve bays.","Worcester, MA #2",85
Sheetz,St Clairsville,OH,Sheetz,uncertain,unknown,0.3,"Description claims touchless, but no reviews/corroboration. Sheetz chain context unclear. Truncated amenities text incomplete.","Wheeling, WV #2",
Touchless Car Wash,Santa Clara,CA,,confirmed_touchless,touchless_automatic,0.98,"High-pressure water/detergent gantry system, no brushes/cloth contact confirmed. Multiple reviews affirm touchless/no-touch operation and scratch-free results.","San Jose, CA #1",84
Jimmy's Ultra Express Car Wash,Murrieta,CA,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm brushless/touchless automatic bay. Facility also offers brush option, making it mixed. Touchless service clearly available.","Temecula, CA #1",66
Pink Bird Car Wash,West Palm Beach,FL,,uncertain,unknown,0.35,"Description claims touchless automatic, but evidence file contradicts this—no touchless tech mentioned. Reviews mixed: some claim 'touch less,' others report scratches/staff manual work. Insufficient clear confirmation.","West Palm Beach, FL #1",82
MegaWash,Ashland,VA,,confirmed_touchless,mixed_with_touchless,0.85,"Website explicitly states '75′ touchless tunnel' and 'Touchless car wash.' Multiple reviews confirm touchless automatic bays (RV wash gantry, touch-free automatic option). Soft-brush/self-serve options exist but don't negate confirmed touchless automatics.","Richmond, VA #2",85
RAMS Auto Spa,Mineral Ridge,OH,,confirmed_touchless,mixed_with_touchless,0.95,"Automatic touchless gantry system confirmed. High-pressure water/chemical, no brushes/cloth. Reviews consistently affirm touchless bay; self-serve also available.","Warren-Youngstown, OH #1",89
Zaug Wash,Rapid City,SD,,confirmed_touchless,touchless_automatic,0.98,"Website confirms Laser Wash system. Multiple reviews explicitly state 'brushless' and 'touch-less.' High-pressure touchless technology documented.","Rapid City, SD #1",89
Foam & Wash Car Wash,Fishkill,NY,Foam & Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states '24/7 TOUCHLESS WASH' with touch-free automatic bays. Multiple reviews confirm 2 no-touch auto bays operational. Mixed facility with soft-touch tunnel also present.","Poughkeepsie, NY #2",67
Power Market,Yuba City,CA,Power Market,confirmed_touchless,touchless_automatic,0.85,"Chain uses Istobal systems with touchless+soft-touch options; listing explicitly states brushless touchless automated washing.","Yuba City, CA #2",
Wild Wild Wash,Reno,NV,,uncertain,unknown,0.45,"Website claims touchless/gantry but evidence contradicts: swirl marks, dents, friction-wash language. Needs clarification.","Reno, NV #2",80
Circle K | Car Wash,Rockford,IL,Circle K,confirmed_touchless,touchless_automatic,0.85,"Description explicitly states 'touchless automated car wash' and 'brushless system.' Review confirms 'touch free wash option' exists, though notes performance concerns.","Rockford, IL #2",
Spritz Car Wash,Glenville,NY,Spritz Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms touchless bays with state-of-art technology. Multiple reviews mention touch-free/no-touch/laser wash bays. Mixed facility includes soft-touch tunnels but has documented automatic touchless option.","Saratoga Springs, NY #3",68
Kwik Trip,Fort Atkinson,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.92,"Description confirms automatic touchless bay with high-pressure water jets, no physical contact. Review mentions 'touch free' option alongside soft-touch. Qualifies as mixed facility with touchless automatic.","Watertown, WI #2",
Foam and Wash Car Wash,Fishkill,NY,Foam & Wash,uncertain,mixed_with_touchless,0.65,"Website confirms touchless automatic bays present. Reviews mention 'soft cloth touchless' (contradictory/unclear), but also 'brushless' positive feedback. Damage complaints suggest potential contact issues; unclear if from touchless bay or other services.","Poughkeepsie, NY #3",85
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states gantry-arm overhead, high-pressure nozzles, nothing physically contacts car. PDQ Laserwash 360 Plus is genuine touchless equipment.","Waterloo-Cedar Falls, IA #2",
Girard Auto Bath,Girard,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Two laser touchless automatic bays explicitly stated. Reviews confirm touch-free, brushless operation. Self-serve bays supplementary.","Warren-Youngstown, OH #2",85
Ashland Laser Wash,Ashland,OH,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay using water pressure & detergent chemistry, no brushes/cloth/foam curtains. Multiple reviews reference 'laser wash' & 'touchless' positively; one contrasts favorably against brush washes.","Wooster, OH #2",70
Kwik Trip,ROCHESTER,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay with gantry arm, high-pressure nozzles, no physical contact. PDQ Laserwash 360 Plus confirmed touchless equipment.","Rochester, MN #2",
International Auto Spa of Sarasota,Sarasota,FL,,uncertain,unknown,0.35,"Description claims touchless gantry wash, but evidence file describes traditional friction tunnel. Customer review mentions brush contact damage. Conflicting sources.","Sarasota, FL #2",
Power Market,Olivehurst,CA,Power Market,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with overhead gantry, high-pressure nozzles, no physical contact. Istobal system is verified touchless equipment.","Yuba City, CA #1",
Kwik Trip,SHEBOYGAN,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states 'touchless automatic car wash' and 'brushless system'. Customer review confirms touchfree wash available alongside soft-touch option.","Sheboygan, WI #3",
Kwik Trip,SIOUX CITY,IA,Kwik Trip,uncertain,unknown,0.4,"Description claims 'Touchless Automatic' but no touchless_wash_types listed, no reviews, no corroborating evidence.","Sioux City, IA #2",
Power Market,Redding,CA,,uncertain,unknown,0.3,"Description claims touchless gantry wash, but website evidence shows only vague 'Auto Spa' membership mention with no service details. Customer review addresses store/gas, not wash. Contradiction unresolved.","Redding, CA #1",
76,Penryn,CA,76,uncertain,unknown,0.55,"Description claims touchless automatic with high-pressure jets. Reviews mention 'touchless' option and praise it, but one 2★ review reports severe rim damage suggesting potential mechanical contact risk. Unclear if damage from touchless bay or other service.","Sacramento, CA #2",80
TouchFree Automatic Car Wash,Tampa,FL,,confirmed_touchless,mixed_with_touchless,0.95,"Confirmed touchless automatic bay with multiple customer reviews explicitly mentioning touch-free/touchless technology. Mixed facility with self-serve bays also present.","Tampa, FL #3",83
Wash World Car Wash,Owasso,OK,,confirmed_touchless,mixed_with_touchless,0.98,"24-hour touchless automatic bay confirmed. Reviews explicitly cite touchless, touch-free, high-pressure, no brushes/rubber strips. Mixed facility with self-serve bays.","Tulsa, OK #2",86
Sonic Wave Car Wash,Latrobe,PA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'TOUCH FREE and BRUSHLESS' system. Multiple reviews confirm touchless/brushless operation. All packages include 'Razor TOUCH FREE Wash.'","Uniontown, PA #3",81
Kwik Trip,WAUSAU,WI,Kwik Trip,uncertain,unknown,0.45,"Description claims 'touchless automatic' and 'brushless wash' but no touchless_wash_types field populated and no review evidence to confirm.","Wausau, WI #2",
Marathon #602 (Max Car Wash),Lake Park,FL,Marathon,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly describes high-pressure water jets, no physical contact automatic bay. Customer reviews confirm touchless wash functionality.","West Palm Beach, FL #3",69
Auto Worx Auto Wash,Raleigh,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms touchless automatic bay. Multiple reviews describe no-touch/touchless service with gantry overhead system. Offers both touchless and soft-touch options.","Raleigh-Durham, NC #1",71
Troy's Finest Car & Pet Wash,Troy,IL,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless wash using only water pressure and detergent chemistry, no brushes/cloth/foam curtains. Multiple reviews confirm automatic touchless operation.","St. Louis, MO #2",84
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless system'. Review confirms touchless operation.","Watertown, WI #1",
Cornerstone Car Wash and Laundromat,Stewartstown,PA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic bay. Mixed facility includes self-serve bays. Description corroborates high-pressure water, no brushes/cloth.","York, PA #1",88
Kickin Mule Car Wash,Lambertville,MI,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm touchless/brushless automatic bay. Dually-fit capability confirms large touchless tunnel. No brush/cloth contact mentioned.","Toledo, OH #1",86
Prístíne Auto Wash,Utica,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly mentions 'Touch Free' and 'Touchless Wash Bays.' Multiple reviews praise laser/touchless wash. Soft Touch also offered but touchless bay clearly present.","Utica-Rome, NY #2",85
Royal Ozarks Car Wash,St Charles,MO,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'touchless tunnel'; multiple reviews confirm brushless/touchless automatic wash. Mixed facility also offers hand drying/vacuuming services.","St. Louis, MO #1",89
Scrub Co Car Wash,Port Ewen,NY,,confirmed_touchless,mixed_with_touchless,0.85,"Description explicitly states 'touchless (brushless) automated car wash'. Multiple reviews confirm touch-free automatic option. Mixed facility also offers standard/soft-touch bays.","Poughkeepsie, NY #1",85
Andover Laserwash,Andover,KS,,confirmed_touchless,touchless_automatic,0.98,"PDQ Laserwash T equipment with overhead gantry, high-pressure nozzles, no physical contact. Multiple reviews confirm laser/touchless/no-touch technology. 24/7 operation.","Wichita, KS #2",77
Rapid Car Wash,Rochester,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touch Free Wash' and 'LaserWash G5' touchless automatic system. Multiple reviews confirm brushless/laser/no-touch automatic bay. Mixed facility with soft cloth tunnel also present.","Rochester, NY #2",76
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless wash experience.' Review mentions no brushes/contact concerns.","Watertown, WI #3",
Caz Car Wash,Cazenovia,NY,,confirmed_touchless,mixed_with_touchless,0.98,"Website confirms Laserwash 360 Touch Free Automatic (laser/high-pressure water+detergent, no physical contact). Multiple reviews explicitly praise 'touchless,' 'touch free,' 'no touch' bays. Mixed facility also offers soft-touch option.","Syracuse, NY #3",73
Elephant Touchless Car Wash,Medical Lake,WA,Elephant Car Wash,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly praise touchless wash; customers contrast it favorably against brush/flap washes. No brush contact reported.","Spokane, WA #3",86
Excel Car Wash,Tyler,TX,,confirmed_touchless,touchless_automatic,0.92,"Website confirms brushless automatic system. Customer reviews explicitly state 'touch free' and 'touch less.' Underbody/wheel/foam services indicate full automatic touchless bay.","Tyler, TX #1",82
Automatic Touchless Car Wash,Stuart,FL,,confirmed_touchless,touchless_automatic,0.92,"Listing explicitly describes automatic touchless bay using high-pressure water jets, no physical contact. Reviews confirm touchless operation despite quality complaints.","Stuart, FL #2",51
Super Wash,Virden,IL,Super Wash,uncertain,unknown,0.4,"Description claims touchless high-pressure automatic, but no customer reviews or technical verification available.","Springfield, IL #2",
Turn 4 Car Wash,Marinette,WI,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touchless Car Wash' and 'Touch Free Washing' with no brushes. Multiple reviews confirm touch-free/no-touch automatic wash system.","Sturgeon Bay, WI #1",78
Klean Freak Car Wash,Silverdale,WA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm brushless/touchless automatic wash. Website evidence contradicted by strong customer testimony of touchless operation.","Seattle, WA #2",84
Hyper Express Car Wash | TOUCHLESS Car Wash | Smithville,Smithville,OH,,confirmed_touchless,touchless_automatic,0.99,"Website confirms touchless automatic gantry system; no physical contact. Reviews consistently praise scratch-free, brush-free wash.","Wooster, OH #1",85
Mobil "Touchless" Car Wash,Macomb,MI,Mobil,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly states automatic touchless bay with no physical contact. Multiple reviews confirm touchless operation. No brush/soft-touch evidence.","Richmond, MI #2",71
Kwik Trip,WISCONSIN RAPIDS,WI,Kwik Trip,uncertain,unknown,0.3,"Description claims touchless, but no touchless_wash_types field populated; no review evidence to confirm. Amenities list cut off.","Wisconsin Rapids, WI #2",
66 Car Wash,Kernersville,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly offers touchless automatic bays. Multiple reviews confirm touchless/touch-free/brushless options available alongside brush bays.","Winston-Salem, NC #3",67
Hamilton Touchless,Sioux City,IA,,confirmed_touchless,mixed_with_touchless,0.95,"Name, listing classification, and multiple reviews confirm automatic touchless bay. Hand-wash prep steps don't disqualify if automatic tunnel is primary service.","Sioux City, IA #1",85
Chevron,Chula Vista,CA,Chevron,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm automatic touchless/touch-free wash. Description states touchless automatic. No brush/cloth contact mentioned.","San Diego, CA #3",65
Kwik Trip,Lake City,MN,Kwik Trip,uncertain,unknown,0.3,"Description claims touchless/brushless, but touchless_wash_types field empty and no reviews to verify.","Red Wing, MN #3",
Mint Eco Car Wash and Detail Center,West Palm Beach,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms automatic high-pressure water jets, no physical contact. Reviews cite 'brushless' and 'touchless' wash. Detailing services also offered but touchless automatic bay clearly present.","West Palm Beach, FL #2",82
Jesse’s car wash n Salina blvd,Syracuse,NY,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly confirms two Washworld Razor Edge Touch Free washes. Multiple reviews affirm touchless/touch-free experience. No brush/cloth contact mentioned.","Syracuse, NY #2",76
Orloski's Car Wash & Lube Shop,Wilkes-Barre Township,PA,,uncertain,mixed_with_touchless,0.55,"Description claims touchless automatic bay with high-pressure water jets. Reviews mention both 'full service brush wash' and 'touchless' option. Swirl marks complaint suggests brush contact possible, but touchless bay apparently exists.","Wilkes-Barre, PA #2",
Auto Wash Express - Catalina,Catalina,AZ,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms Autec Automatics touchless automatic bay. Multiple reviews explicitly mention 'touch-free' and 'touchless' options on automatic. Mixed facility with self-serve bays also present.","Tucson, AZ #2",51
Ultimate Express Car Wash,Layton,UT,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'touchless car wash systems' with 'hands-free experience' and 'no contact.' Multiple 5★ reviews confirm touchless option. Dedicated touchless package offered.","Salt Lake City, UT #2",83
Kwik Trip,WAITE PARK,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with gantry/overhead nozzles, no physical contact. PDQ Laserwash 360 Plus equipment specified.","St. Cloud, MN #3",
Dawson Oil Company - Car Wash,Rocklin,CA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly confirms touchless carwashes at Rocklin location. Multiple 5★ reviews consistently describe 'touchless', 'no touch' wash experience. Clear automatic bay evidence.","Sacramento, CA #1",92
Quick Car Wash II,Sparks,NV,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews confirm automatic touchless bay. Description, keywords, and customer testimonials consistently cite touchless automatic wash as primary service.","Reno, NV #1",93
Power Market,Anderson,CA,Power Market,uncertain,unknown,0.5,"Chain uses Istobal (touchless + soft-touch capable), but no reviews harvested. Anderson location claims 'touchless, brushless' but source URL is Oregon-only.","Redding, CA #2",
Mike’s Stop and Shine,Terre Haute,IN,,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states touchless wash without brushes. Multiple 5★ reviews confirm touchless operation and customer satisfaction.","Terre Haute, IN #2",
Wash Time Car Wash II,Hayward,CA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic bay. Mixed facility with self-serve stalls and manual wash also available.","San Francisco, CA #1",72
BellStores,Martins Ferry,OH,BellStores,uncertain,unknown,0.4,"Description claims touchless automatic but no reviews sampled to verify. No technical specifications provided.","Wheeling, WV #3",
Grand Prix Auto Wash of Meadowbridge,Mechanicsville,VA,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/touch-less automatic wash. Customers praise brushless cleaning, no swirl marks, suitable for special paint—all consistent with touchless automatic technology.","Richmond, VA #1",75
Squeaky's Car Wash,Spokane Valley,WA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Always Touch Free.' Multiple reviews confirm no-touch automatic wash. Brushless system mentioned. No brush/cloth contact reported.","Spokane, WA #1",94
American Pride Car Wash,Knightdale,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly lists 'Touchfree Automatic' bays. Reviews confirm laser wash and brushless options. Mixed facility with Xpress Tunnel + touchless bays.","Raleigh-Durham, NC #3",68
Kwik Trip,Red Wing,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states 'automatic touchless car washing — no brushes, no cloth.' Amenities list includes 'Touchless automatic wash.' Strong language confirming touch-free operation.","Red Wing, MN #2",
Southport Auto Wash,Southport,NC,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly advertises 'Touch-Free Automatic' wash. Multiple reviews confirm brushless, touchless system with high-pressure water. No brush/soft-touch evidence.","Wilmington, NC #2",80
Super Klean Car Wash Bixby,Bixby,OK,Super Klean Car Wash,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states 'Touch Free Tunnel' with no brushes/curtains. Multiple 5★ reviews confirm touchless automatic operation with soap+water only.","Tulsa, OK #1",91
Kwik Trip,New Holstein,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless but no review evidence, no official touchless_wash_types data, no technical confirmation.","Sheboygan, WI #2",
Waterfly Car Wash,Sacramento,CA,,uncertain,unknown,0.45,"Website evidence suggests soft-touch/friction tunnel (chemicals, treatments listed). Customer reviews claim 'no touch' but also report scratches/hard contact—contradictory. Insufficient technical clarification.","Sacramento, CA #3",82
Shine On Auto Wash Touchless Automatic,East Providence,RI,,confirmed_touchless,mixed_with_touchless,0.98,"Two automatic touchless bays confirmed. Mixed facility with self-serve bays & vacuums. Multiple reviews praise touchless spray wash.","Providence, RI #1",88
Classy Chassis Car Wash,Lakewood,WA,,uncertain,mixed_with_touchless,0.45,"Website claims touchless; description mentions 'soft cloth' (contradicts touchless); reviews mixed—some praise 'touch free' wash, one explicitly states no touchless at this location.","Tacoma, WA #2",69
EZ Breezy Car Wash,Mt Pleasant,PA,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states 'touchless_automatic', 'brushless automatic wash', 'touch-free'. Two touchless automatic bays confirmed. Reviews cite brushless/laser/touchless auto. Self-serve bays present but touchless auto primary.","Uniontown, PA #1",90
RMR CAR WASH,Vero Beach,FL,,confirmed_touchless,touchless_automatic,0.85,"Description explicitly states touchless wash without brushes. Multiple reviews confirm touchless system operation and terminology.","Vero Beach, FL #3",
