touchless_signal,name,brand,address,city,state,zip,lat,lng,car_wash_type,automated,self_service,phone,website,opening_hours,osm_id
false,Madison One Day Auto Spa,,,,AL,,34.6804872,-86.7399104,,,,,,,way/384775047
false,Shine Time Super Wash,,,,AL,,34.6791622,-86.7511685,,,,,,,way/384891569
false,,Circle K,,,AL,,33.0422972,-84.9832574,,,,,,,way/391119465
false,BK's 24 Hour Car Wash,,1130 Motel Drive,Chipley,AL,32428,30.7513509,-85.551527,,,yes,,,,way/396948065
false,,,,,AL,,34.6905388,-86.5746,,,,,,,way/400239947
false,Take 5 Car Wash,,,,AL,,34.6963396,-86.5824697,,,,,,,way/405348427
false,,,,,AL,,30.1544598,-85.7503214,,,,,,,way/427546833
false,,,,,AL,,34.5609262,-84.9344086,,,,,,,way/429774933
false,,,,,AL,,34.4868884,-84.9446982,,,,,,,way/430879230
false,,,,,AL,,34.7086193,-86.7074203,,,,,,,way/436569041
false,,,,,AL,,34.7131746,-86.6277177,,,,,,,way/436606526
false,Mobil,Mobil,,,AL,,33.2779241,-86.8519418,,,,,,,way/453550729
false,,,,,AL,,33.6012775,-85.8339929,,,,,,,way/456463162
false,,,,,AL,,34.828147,-87.6397688,,,,,,,way/457045591
false,,,,,AL,,34.8426743,-87.669174,,,,,,,way/458091457
false,Sparkle Car Wash,,2526 Florence Boulevard,Florence,AL,35630,34.8281403,-87.6351426,,yes,yes,,,,way/458604563
false,Etheridge Brothers Car Wash,,1600 3rd Avenue North,Birmingham,AL,35203,33.513958,-86.8124087,,,,+1-205-323-3210,,,way/466196792
false,,,3030 University Drive Northwest,,AL,,34.7357952,-86.6176647,,,,,,,way/477960929
false,Mister Car Wash,Mister Car Wash,627 Beltline Road Southwest,Decatur,AL,35601,34.5591079,-86.9938896,,,,,,,way/478533745
false,Wash Master Car Wash,,,,AL,,34.7508708,-86.7502616,,no,only,,,,way/480112337
false,,,,,AL,,34.7583542,-86.7386836,,,,,,,way/483566129
false,,,,,AL,,34.7566681,-86.732669,,,,,,,way/489971784
false,,,1862 Government Street,Mobile,AL,36606,30.6773946,-88.0835843,,,,,,,way/541973533
false,,,1600 John Sims Parkway,Niceville,AL,32578,30.5127178,-86.4476043,,,,,,,way/546638343
false,A Proper Wash,,1215 John Sims Parkway,Niceville,AL,32578,30.5148003,-86.4631916,,,,,https://aproperwash.com/,,way/546638357
false,On the Spot,,,,AL,,34.7520835,-86.7476566,,,,,,,way/549404082
false,M&M Car Wash,,120 East 20th Avenue,Gulf Shores,AL,36542,30.2738112,-87.6858142,,,,,,,way/568511879
false,,,,,AL,,32.8168993,-85.1993066,,,,,,,way/585502448
false,Zippy's Car Wash,,,,AL,,34.1520223,-86.8421488,,,,,,,way/601128686
false,,,,,AL,,31.2505111,-85.4321624,,,,,,,way/605388648
false,Crestview Auto Spa,,493 North Ferdon Boulevard,Crestview,AL,,30.7638857,-86.5690835,,,,,,,way/611700151
false,,,512 East John Sims Parkway,,AL,,30.520265,-86.4836337,,,yes,,,,way/617248030
false,VIP Car Wash,,25856 Canal Road,Orange Beach,AL,36561,30.2910886,-87.5835912,,,,,,,way/619031967
false,Da Carwash,,24130 Canal Road,Orange Beach,AL,36561,30.289787,-87.6126027,,,,,,,way/619346518
false,Tropical Suds II,,23071 Perdido Beach Boulevard,Orange Beach,AL,36561,30.25909,-87.6307431,,,,,,,way/631227838
false,,,,,AL,,30.3674513,-87.1727453,,,,,,,way/631860120
false,,,9721 Front Beach Road,Panama City Beach,AL,32408,30.1789163,-85.7966899,,yes,yes,,,,way/637023409
false,,,11399 Chattanooga Road,Ringgold,AL,,34.8889806,-85.07217,,,,,,,way/683618422
false,Ollie's Car Wash,,,,AL,,33.6982442,-85.1438835,,,,,,,way/683823237
false,,,,,AL,,34.9293891,-85.1706841,,,,,,,way/690338757
false,,,,,AL,,30.4568906,-86.6372317,,no,yes,,,,way/690613926
false,Dragon Wash,,75 Park Avenue,Lindale,AL,30147,34.1877574,-85.1745582,,,,,,,way/691508241
false,Vannoy's Car Wash,,3199 West Nine Mile Road,Pensacola,AL,32534,30.5338395,-87.3296,,,,,,Mo-Su 08:00-20:00,way/698746390
false,,,,,AL,,30.5175456,-87.3131892,,,,,,,way/698936654
false,,,,,AL,,34.9895674,-85.2140596,,,,,,,way/702348708
false,Bess Detail Ever,,,,AL,,30.752522,-86.5650489,,,,,,,way/705027749
false,Crystal Clear,,,,AL,,30.7456722,-86.5634152,,,yes,,,,way/705285655
false,Crystal Clear,,1750 South Ferdon Boulevard,Crestview,AL,,30.740327,-86.5651783,,,,,,,way/705297908
false,,,,,AL,,34.2066855,-86.8750802,,yes,no,,,,way/729962255
false,,,,,AL,,32.6077578,-85.4312156,,,,,,,way/748704793
false,,,,,AL,,32.6073973,-85.4315954,,,,,,,way/748704794
false,Double Bubble Car Wash,,,,AL,,34.8127688,-86.5026051,,,,,,,way/757341705
false,Professional Car Wash and Detail,,Mary Esther Boulevard,Mary Esther,AL,,30.4202463,-86.6532729,,,,,,,way/759491764
false,Raindrop,,,,AL,,33.6931996,-86.6027975,,,,,,,way/767307444
false,,,,,AL,,35.0062572,-85.1530788,,,,,,,way/775661171
false,,,,,AL,,34.8954461,-85.1319509,,,,,,,way/784673641
false,,,,,AL,,34.8701201,-85.1427858,,,,,,,way/796592886
false,,,,,AL,,33.3322017,-87.0000587,,,,,,,way/803846867
false,,,,,AL,,33.3922339,-86.79688,,,,,,,way/808122499
false,,,,,AL,,33.3536857,-86.8633355,,,,,,,way/816679610
false,,,,,AL,,33.4327748,-86.7390242,,,,,,,way/819549715
false,,,,,AL,,33.423797,-86.7003719,,yes,no,,,,way/819609592
false,,,,,AL,,33.5327817,-86.705841,,,,,,,way/821973591
false,,,,,AL,,34.6914941,-86.7328707,,,yes,,,,way/826026953
false,Tip Top Car Wash,,South Piedmont Avenue,Rockmart,AL,30153,33.9957224,-85.0417373,,,,,,,way/830563592
false,Dauphin Island Car & Boat Wash,,203 Le Moyne Drive,Dauphin Island,AL,36528,30.2550981,-88.112985,,,,,,,way/834824303
false,,,,,AL,,33.908091,-86.6167009,,,,,,,way/836826037
false,Otto's Express Car Wash,,34709 Emerald Coast Pkwy,Destin,AL,32541,30.3876019,-86.4423316,,,,,https://www.ottoscarwash.com,Mo-Sa 08:00-19:00; Su 09:00-18:00,way/838001781
false,,,,,AL,,34.9286998,-85.1496563,,,,,,,way/840376345
false,,,,,AL,,30.4922657,-86.1228735,,,,,,,way/854791895
false,,,,,AL,,32.4609934,-86.4192865,,,,,,,way/854966448
false,,,,,AL,,33.6085454,-86.8001641,,,,,,,way/885665971
false,,,,,AL,,33.6907749,-86.6202889,,,,,,,way/888787413
false,,,,,AL,,33.6422309,-86.6572702,,,,,,,way/891693864
false,,,,,AL,,33.2166254,-86.8247972,,,,,,,way/921953489
false,,,,,AL,,33.2167833,-86.8247091,,,,,,,way/921953490
false,,,,,AL,,33.2163357,-86.826782,,,,,,,way/921953511
false,,,,,AL,,33.2363126,-86.8222241,,,,,,,way/922020238
false,,,5707 US Highway 98 West,Santa Rosa Beach,AL,32459,30.3745649,-86.2726726,,,,,,,way/937863012
false,,,103 US Highway 72 East,Athens,AL,35611,34.7902292,-86.9694761,,,yes,,,,way/940803555
false,Marathon,,,,AL,,31.2680752,-85.4168755,,yes,no,,,,way/946989022
false,Waterworx Car Wash,,500 East Nine Mile Road,Pensacola,AL,32514,30.5333013,-87.2563411,,,,,,,way/948209092
false,,,2320 South Highway 29,Cantonment,AL,32533,30.5676486,-87.2890272,,no,only,,,,way/948231123
false,Rudd's Express Wash,,,,AL,,33.1858274,-86.2446613,,,,,,,way/980663266
false,,,,,AL,,34.1744475,-85.208,,,,,,,way/982269822
false,Magic Wand Car Wash,,,,AL,,34.317584,-85.1728095,,,,,,,way/983360726
false,,,,,AL,,34.9633445,-85.1744755,,,,,,,way/988895069
false,,,,,AL,,34.8688243,-85.5225115,,,,,,,way/1025510829
false,,,,,AL,,30.2338037,-85.6287882,,,,,,,way/1074366191
false,,,,,AL,,30.3851866,-87.6826719,,,,,,,way/1078686890
false,,,,,AL,,32.3521857,-84.9555055,,,,,,,way/1127495373
false,,,,,AL,,32.3699192,-84.921725,,,,,,,way/1127681016
false,,Circle K,,,AL,,32.8442018,-85.181563,,,,,,,way/1178477678
false,,,,,AL,,34.448615,-86.9032479,,,,,,,way/1179863791
false,,,,,AL,,31.4497278,-85.6551341,,,,,,,way/1180554386
false,,,,,AL,,33.4936646,-86.9587481,,,,,,,way/1187910323
false,,,,,AL,,32.9164817,-85.9525033,,,,,,,way/1188771218
false,Wash N' Roll Car Wash,,1419,Phenix City,AL,36867,32.4747222,-85.0307141,,,,,https://www.mywashnroll.com/,,way/1191233647
false,Ronny's Car Wash,,,,AL,,31.305791,-86.4998662,,yes,no,,,,way/1193186307
false,Best Lu Car Wash,,,,AL,,31.0478334,-85.8897247,,,,,,,way/1193663448
false,Take 5 Car Wash,,,Scottsboro,AL,,34.6466165,-86.0316612,,yes,,,,,way/1219577373
false,,,,,AL,,30.5217752,-87.8517131,,yes,,,,,way/1222776496
false,U-Suds-T,,,,AL,,33.9578781,-86.4631382,,no,yes,,,24/7,way/1230904193
false,,,Gault Avenue South,Fort Payne,AL,35967,34.4281093,-85.7350245,,,yes,,,,way/1254203752
false,,,South Main Street,Excel,AL,,31.4270365,-87.3421048,,,yes,,,,way/1262331137
false,,,,,AL,,34.6759884,-86.5380238,,,yes,,,,way/1271846504
false,Tidal Wave Auto Spa,Tidal Wave Auto Spa,,,AL,,30.6896397,-88.1236755,,,,,,,way/1291787556
false,,,,,AL,,31.4256125,-86.0800412,,,,,,,way/1304711966
false,,,1706 Military St S,,AL,,34.1197266,-87.9900961,,,,+1-800-928-2274,https://coinstar.com/,,way/1312114746
false,,,,,AL,,34.1417906,-87.9869968,,,,,,,way/1312114749
false,,,,,AL,,30.3783164,-87.6840566,,,,,,,way/1317027582
false,,,,,AL,,32.4150865,-87.0269249,,,,,,,way/1356544470
false,Whistle Express Car Wash,,518 North Tyndall Parkway,Panama City,AL,32404,30.1566181,-85.5903237,,yes,,,https://whistleexpresscarwash.com/locations/518-n-tyndall-pkwy-panama-city-fl/,,way/1364561898
false,,,,,AL,,32.9345567,-85.9712459,,,,,,,way/1368430367
false,,,,,AL,,33.8456307,-87.2542828,,,,,,,way/1371164005
false,,,,,AL,,34.8045304,-86.7493981,,,yes,,,,way/1387284844
false,Vulcan Truck Wash,,,,AL,,33.9870702,-87.7751458,,,,,,,way/1387371469
false,,,,,AL,,30.1878181,-85.650655,,,,,,,way/1412498879
false,,,,,AL,,30.3637199,-87.6838262,,,,,,,way/1421403757
false,Wash & Shine,,17872 US 98,Foley,AL,36535,30.4061673,-87.7181395,,,,,,,way/1427215936
false,Bubble's Express Car Wash,,,,AL,,34.7525626,-86.7403992,,,,,,,way/1427619170
false,,,,,AL,,32.6545042,-85.3763768,,,,,,,way/1433381550
false,Pro Car Care,,1720 Pepperell Parkway,Opelika,AL,36801,32.639038,-85.3976203,,no,no,+1-334-749-9500,https://procarcareopelika.com/,,way/1434600567
false,,,,,AL,,32.628904,-85.372063,,no,yes,,,,way/1434792717
false,,,,,AL,,32.646742,-85.3728891,,no,yes,,,,way/1436829659
false,One Day at a Time Car Wash,,,,AL,,33.5845743,-85.0920725,,no,,,,,way/1445321706
false,Raindrop Carwash,,,,AL,,33.9570348,-86.0448273,,yes,yes,,,,way/1453248858
false,,,,,AL,,30.2479121,-85.5560404,,,,,,,way/1456566684
false,Rich's Car Wash,,,,AL,,30.6453215,-87.9136757,,,,,,,way/1468651353
false,,,,,AL,,34.6863272,-86.5061243,,no,yes,,,24/7,way/1469376405
false,,,,,AL,,30.6830259,-86.1234216,,,,,,,way/1470142642
false,,,,,AL,,32.4678765,-85.0289462,,,,,,,way/1476718187
false,,,,,AL,,32.9142831,-85.9521175,,,,,,,way/1478719456
false,Tidal Wave Auto Spa,Tidal Wave Auto Spa,1403 Beltline Road Southwest,Decatur,AL,35601,34.5626952,-87.0096283,,,,+1-706-558-6500,https://www.tidalwaveautospa.com/location/decatur-al/?utm_source=google&utm_medium=GMB,Mo-Su 08:00-19:00,way/1480980112
false,Buddy's Car Wash,,US Highway 31,Calera,AL,35040,33.1572063,-86.7532109,,,,,,,way/1492446311
false,Shine Time Super Wash & Express Polish,,119 Field View Lane,Madison,AL,35758,34.7257638,-86.7870783,,,,+1-256-244-8080,https://www.shinetimesuperwash.com/,Mo-Su 07:30-19:30,way/1493723238
false,Mach 3 Car Wash,,,Madison,AL,35758,34.7098213,-86.7426021,,,,,,,way/1493791537
false,,,,,AL,,31.2507291,-85.4258167,,,,,,,way/1498683269
false,,,,,AZ,,36.3429977,-109.6205561,,,,,,,node/174059269
false,Danny's Family Car Wash,,,,AZ,,33.5966719,-111.9815101,,yes,,,,,node/1802028634
false,Richie's Car Wash,,,,AZ,,34.5450891,-112.461505,,,,,,,node/1995762072
false,,,325 East Gurley Street,Prescott,AZ,86301,34.5415624,-112.4649245,,,,,,,node/1995762219
false,Ocean Blue Car Wash,,,,AZ,,34.5850824,-112.3283345,,yes,no,,,,node/2172279231
false,Jay's Express,,7038 North 67th Avenue,Glendale,AZ,85303,33.5398575,-112.203632,,yes,yes,,https://www.quicknclean.net/,,node/2256808766
false,,,6666 North 47th Avenue,Glendale,AZ,85301,33.5346037,-112.160381,,no,yes,,,,node/2292133804
false,,,,,AZ,,33.52134,-112.2035856,,,,,,,node/2473164502
false,Sonoran Express Car Wash,,16843 North 43rd Avenue,Phoenix,AZ,85053,33.638236,-112.1511026,,,,+1-602-548-4974,https://sonoranexpresscarwash.com/,Mo-Sa 07:00-19:00; Su 08:00-18:00,node/2611861289
false,,,7835 North 27th Avenue,Phoenix,AZ,85051,33.5528319,-112.116666,,,,,,,node/2921477549
false,Speedy Wash,Speedway,,,AZ,,31.4666425,-110.2583735,,,,,,,node/2957318221
false,,,,,AZ,,33.5388398,-112.109122,,,,,,,node/2962124543
false,Discount Car Wash,,,,AZ,,33.4945961,-112.1682,,,,,,,node/3045078233
false,,,,,AZ,,33.5969048,-112.1014892,,,,,,,node/3053053512
false,,,,,AZ,,33.4588145,-112.0123664,,,,,,,node/3182206683
false,,,,,AZ,,33.5243758,-112.1357849,,,,,,,node/3630195380
false,Speedy Wash,Speedway,,,AZ,,32.4252555,-111.079607,,yes,no,,,,node/3798770852
false,,,8615 North 7th Street,Phoenix,AZ,85020,33.5628641,-112.064931,,,,,,,node/3898481993
false,,,,,AZ,,31.3328279,-113.5408262,,,,,,,node/4332805653
false,,,,,AZ,,32.6975407,-114.6175547,,yes,no,,,,node/4693005255
false,Karges Car Wash,,,,AZ,,34.9020818,-110.1648086,,,,,,,node/5129798312
false,Ed's Car Wash,,130 West 8th Avenue,San Manuel,AZ,85631,32.6144812,-110.6298083,,,,,,,node/5326607126
false,Auto Wash,,17601 North Cave Creek Road,Phoenix,AZ,85032,33.6462187,-112.030426,,,yes,,,,node/5337915226
false,,,,,AZ,,31.3405889,-110.937323,,,,,,,node/5608408212
false,,,,,AZ,,35.1912787,-111.6610949,,,no,,,,node/5750743882
false,,,,,AZ,,36.9559141,-112.5266147,,,,,,,node/6037441785
false,,,9211 East Via De Ventura,Scottsdale,AZ,85258,33.5528413,-111.881917,,yes,no,,,,node/6077819917
false,,,13650 North Cave Creek Road,Phoenix,AZ,85022,33.610668,-112.0364286,,,,,,,node/6189065404
false,Quick Quack,,2011 East Cactus Road,Phoenix,AZ,85022,33.5962032,-112.036619,,,,,https://www.dontdrivedirty.com,,node/6189065405
false,Super Star Car Wash Express,Super Star Car Wash,1335 West Warner Road,Tempe,AZ,85284,33.3340589,-111.961814,,no,no,,,Mo-Sa 07:30-20:00,node/6387321288
false,,,,,AZ,,34.7290499,-112.0154708,,,,,,,node/6505020324
false,Quick Quack,,,,AZ,,33.6409461,-112.0607322,,,,,,,node/6715165635
false,,,,,AZ,,36.0970184,-110.2167121,,yes,yes,,,,node/7057450609
false,Quick Quack Car Wash,Quick Quack Car Wash,2632 West Indian School Road,Phoenix,AZ,85017,33.4954703,-112.1159975,,no,no,,,,node/7409406347
false,Squeaky Clean Car Wash,,,,AZ,,33.5828375,-112.0111949,,,,+1-602-996-9075,,,node/7533132812
false,Cory’s Mobile Wash,,260 South Alma School Road,Mesa,AZ,85210,33.4095214,-111.857231,,no,no,,,,node/7771041640
false,Pit Stop Auto Detailing & Vehicle Storage,,,,AZ,,33.278298,-111.7768726,,,,,,,node/7895682504
false,Oz Braz LLC,,,,AZ,,33.2783439,-111.7774548,,,,,,,node/7895682506
false,Quick Quack Car Wash,Quick Quack Car Wash,3430 North 35th Avenue,Phoenix,AZ,85017,33.5248904,-112.133608,,,,,https://www.dontdrivedirty.com/,,node/8515835388
false,Shining Times Carwash,,924 North Broad Street,Globe,AZ,85501,33.4023136,-110.7928495,,,,,,,node/8871109127
false,,,,,AZ,,33.2319677,-111.8420311,,,,,,,node/9002905244
false,Tse Car Wash,,,,AZ,,35.6577675,-109.0413495,,no,only,,,,node/9007009917
false,,,,,AZ,,33.302547,-110.470207,,,,,,,node/9031350854
false,,,7830 West Lower Buckeye Road,Phoenix,AZ,85043,33.4235148,-112.2280338,,no,no,,,,node/9064978089
false,Super Star Car Wash,,16957 West Bell Road,Surprise,AZ,85374,33.6383053,-112.42367,,no,no,,,,node/9244435528
false,Granda Express Car Wash,,10480 North Cotton Crossing,Peoria,AZ,85345,33.5792117,-112.232667,,,,,,,node/9485120176
false,$3 CarWash,,6648 South Central Avenue,Phoenix,AZ,85041,33.385389,-112.0737055,,,no,,,,node/9559603323
false,Clean Freak Car Wash,,22038 South Ellsworth Loop Road,Queen Creek,AZ,85142,33.2469291,-111.6384113,,yes,no,,https://www.circlek.com/store-locator/US/queen-creek/22038-s-ellsworth-loop-rd/CF18,,node/9736010764
false,,,9444 North 19th Avenue,Phoenix,AZ,85021,33.5726303,-112.1001331,,,,,,,node/9901250920
